Date_Time,Indoor_Temp[C],Indoor_RH[%],Room_ID,Building_ID
2018-01-30 15:25,21.02,35.15,1,1
2018-01-30 15:30,21.03,35.40,1,1
2018-01-30 15:35,21.05,35.35,1,1
2018-01-30 15:40,21.07,35.30,1,1
2018-01-30 15:45,21.08,35.33,1,1
2018-01-30 15:50,21.10,35.37,1,1
2018-01-30 15:55,21.10,35.32,1,1
2018-01-30 16:00,21.10,35.27,1,1
2018-01-30 16:05,21.10,35.10,1,1
2018-01-30 16:10,21.10,34.93,1,1
2018-01-30 16:15,21.07,35.20,1,1
2018-01-30 16:20,21.03,35.47,1,1
2018-01-30 16:25,20.92,35.68,1,1
2018-01-30 16:30,20.80,35.90,1,1
2018-01-30 16:35,20.75,36.23,1,1
2018-01-30 16:40,20.70,36.57,1,1
2018-01-30 16:45,20.68,36.87,1,1
2018-01-30 16:50,20.67,37.17,1,1
2018-01-30 16:55,20.65,37.30,1,1
2018-01-30 17:00,20.63,37.43,1,1
2018-01-30 17:05,20.62,37.68,1,1
2018-01-30 19:15,19.70,36.48,1,1
2018-01-30 19:20,19.70,36.47,1,1
2018-01-30 19:25,19.70,36.58,1,1
2018-01-30 19:30,19.70,36.70,1,1
2018-01-30 19:35,19.73,37.03,1,1
2018-01-30 19:40,19.77,37.37,1,1
2018-01-30 19:45,19.78,37.52,1,1
2018-01-30 19:50,19.80,37.67,1,1
2018-01-30 19:55,19.83,37.77,1,1
2018-01-30 20:00,19.87,37.87,1,1
2018-01-30 20:05,19.85,37.93,1,1
2018-01-30 20:10,19.83,38.00,1,1
2018-01-30 20:15,19.87,38.08,1,1
2018-01-30 20:20,19.90,38.17,1,1
2018-01-30 20:25,19.93,38.30,1,1
2018-01-30 20:30,19.97,38.43,1,1
2018-01-30 20:35,19.97,38.47,1,1
2018-01-30 20:40,19.97,38.50,1,1
2018-01-30 20:45,19.97,38.67,1,1
2018-01-30 20:50,19.97,38.83,1,1
2018-01-30 20:55,19.98,38.93,1,1
2018-01-30 21:00,20.00,39.03,1,1
2018-01-30 21:05,20.03,39.10,1,1
2018-01-30 21:10,20.07,39.17,1,1
2018-01-30 21:15,20.10,39.18,1,1
2018-01-30 21:20,20.13,39.20,1,1
2018-01-30 21:25,20.13,39.18,1,1
2018-01-30 21:30,20.13,39.17,1,1
2018-01-30 21:35,20.13,39.25,1,1
2018-01-30 21:40,20.13,39.33,1,1
2018-01-30 21:45,20.13,39.35,1,1
2018-01-30 21:50,20.13,39.37,1,1
2018-01-30 21:55,20.17,39.45,1,1
2018-01-30 22:00,20.20,39.53,1,1
2018-01-30 22:05,20.20,39.35,1,1
2018-01-30 22:10,20.20,39.17,1,1
2018-01-30 22:15,20.18,39.18,1,1
2018-01-30 22:20,20.17,39.20,1,1
2018-01-30 22:25,20.15,39.17,1,1
2018-01-30 22:30,20.13,39.13,1,1
2018-01-30 22:35,20.10,39.08,1,1
2018-01-30 22:40,20.07,39.03,1,1
2018-01-30 22:45,20.02,38.55,1,1
2018-01-30 22:50,19.97,38.07,1,1
2018-01-30 22:55,19.95,38.12,1,1
2018-01-31 10:10,19.17,36.17,1,1
2018-01-31 10:15,19.17,36.23,1,1
2018-01-31 10:20,19.17,36.30,1,1
2018-01-31 10:25,18.25,35.23,1,1
2018-01-31 10:30,17.33,34.17,1,1
2018-01-31 10:35,17.70,34.32,1,1
2018-01-31 10:40,18.07,34.47,1,1
2018-01-31 10:45,18.25,34.88,1,1
2018-01-31 10:50,18.43,35.30,1,1
2018-01-31 10:55,18.55,35.50,1,1
2018-01-31 11:00,18.67,35.70,1,1
2018-01-31 11:05,18.72,35.82,1,1
2018-01-31 11:10,18.77,35.93,1,1
2018-01-31 11:15,18.80,36.07,1,1
2018-01-31 11:20,18.83,36.20,1,1
2018-01-31 11:25,18.85,36.33,1,1
2018-01-31 11:30,18.87,36.47,1,1
2018-01-31 11:35,18.92,36.90,1,1
2018-01-31 11:40,18.97,37.33,1,1
2018-01-31 11:45,19.03,37.60,1,1
2018-01-31 11:50,19.10,37.87,1,1
2018-01-31 11:55,19.17,37.72,1,1
2018-01-31 12:00,19.23,37.57,1,1
2018-01-31 12:05,19.27,37.75,1,1
2018-01-31 12:10,19.30,37.93,1,1
2018-01-31 12:15,19.35,38.13,1,1
2018-01-31 12:20,19.40,38.33,1,1
2018-01-31 12:25,19.38,38.07,1,1
2018-01-31 12:30,19.37,37.80,1,1
2018-01-31 12:35,19.43,38.03,1,1
2018-01-31 12:40,19.50,38.27,1,1
2018-01-31 12:45,19.53,38.47,1,1
2018-01-31 12:50,19.57,38.67,1,1
2018-01-31 12:55,19.60,38.75,1,1
2018-01-31 13:00,19.63,38.83,1,1
2018-01-31 13:05,19.62,38.77,1,1
2018-01-31 13:10,19.60,38.70,1,1
2018-01-31 13:15,19.60,38.75,1,1
2018-01-31 13:20,19.60,38.80,1,1
2018-01-31 13:25,19.65,39.05,1,1
2018-01-31 13:30,19.70,39.30,1,1
2018-01-31 13:35,19.68,39.32,1,1
2018-01-31 13:40,19.67,39.33,1,1
2018-01-31 13:45,19.70,39.47,1,1
2018-01-31 13:50,19.73,39.60,1,1
2018-01-31 13:55,19.73,40.00,1,1
2018-01-31 14:00,19.73,40.40,1,1
2018-01-31 14:05,19.77,40.08,1,1
2018-01-31 14:10,19.80,39.77,1,1
2018-01-31 14:15,19.80,39.65,1,1
2018-01-31 14:20,19.80,39.53,1,1
2018-01-31 14:25,19.83,39.80,1,1
2018-01-31 14:30,19.87,40.07,1,1
2018-01-31 14:35,19.88,39.95,1,1
2018-01-31 14:40,19.90,39.83,1,1
2018-01-31 14:45,19.88,39.63,1,1
2018-01-31 14:50,19.87,39.43,1,1
2018-01-31 14:55,19.87,39.35,1,1
2018-01-31 15:00,19.87,39.27,1,1
2018-01-31 15:05,19.90,39.57,1,1
2018-01-31 15:10,19.93,39.87,1,1
2018-01-31 15:15,19.97,40.93,1,1
2018-01-31 15:20,20.00,42.00,1,1
2018-01-31 15:25,20.07,42.13,1,1
2018-01-31 15:30,20.13,42.27,1,1
2018-01-31 15:35,20.18,42.65,1,1
2018-01-31 15:40,20.23,43.03,1,1
2018-01-31 15:45,20.22,42.78,1,1
2018-01-31 15:50,20.20,42.53,1,1
2018-01-31 15:55,20.20,42.38,1,1
2018-01-31 16:00,20.20,42.23,1,1
2018-01-31 16:05,20.23,42.22,1,1
2018-01-31 16:10,20.27,42.20,1,1
2018-01-31 16:15,20.27,42.10,1,1
2018-01-31 16:20,20.27,42.00,1,1
2018-01-31 16:25,20.25,41.77,1,1
2018-01-31 16:30,20.23,41.53,1,1
2018-01-31 16:35,20.23,41.70,1,1
2018-01-31 16:40,20.23,41.87,1,1
2018-01-31 16:45,20.22,41.50,1,1
2018-01-31 16:50,20.20,41.13,1,1
2018-01-31 16:55,20.20,41.30,1,1
2018-01-31 17:00,20.20,41.47,1,1
2018-01-31 17:05,20.17,41.22,1,1
2018-01-31 17:10,20.13,40.97,1,1
2018-01-31 17:15,20.17,40.58,1,1
2018-01-31 17:20,20.20,40.20,1,1
2018-01-31 17:25,20.20,40.53,1,1
2018-01-31 17:30,20.20,40.87,1,1
2018-01-31 17:35,20.17,40.75,1,1
2018-01-31 17:40,20.13,40.63,1,1
2018-01-31 17:45,20.13,40.58,1,1
2018-01-31 17:50,20.13,40.53,1,1
2018-01-31 17:55,20.10,40.58,1,1
2018-01-31 18:00,20.07,40.63,1,1
2018-01-31 18:05,20.07,40.35,1,1
2018-01-31 18:10,20.07,40.07,1,1
2018-01-31 18:15,20.07,40.25,1,1
2018-01-31 18:20,20.07,40.43,1,1
2018-01-31 18:25,20.08,40.33,1,1
2018-01-31 18:30,20.10,40.23,1,1
2018-01-31 18:35,20.10,40.70,1,1
2018-01-31 18:40,20.10,41.17,1,1
