CO2 [ppm],Temperature_Indoor [C],Relative_Humidity_Indoor [%],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Class,Room_ID
527,24.00,70.30,27.85,64.80,53.250,108.000,No Turning-on Behavior,A
549,23.90,70.80,27.38,64.50,4.140,49.000,No Turning-on Behavior,A
546,23.80,70.60,27.17,65.60,2.510,47.000,No Turning-on Behavior,A
534,23.70,70.60,26.74,65.80,2.510,46.000,No Turning-on Behavior,A
532,23.60,70.40,26.41,65.20,3.910,41.000,No Turning-on Behavior,A
529,23.50,69.80,25.97,66.60,3.210,34.000,No Turning-on Behavior,A
526,23.30,69.50,25.85,66.90,1.570,32.000,No Turning-on Behavior,A
531,23.40,69.00,25.90,66.60,1.800,32.000,No Turning-on Behavior,A
500,25.10,65.70,20.90,88.40,2.270,48.000,No Turning-on Behavior,A
478,25.10,65.80,20.76,89.60,2.510,66.000,No Turning-on Behavior,A
489,25.20,65.40,20.73,89.50,2.040,74.000,No Turning-on Behavior,A
506,25.20,65.30,20.83,88.80,2.510,87.000,No Turning-on Behavior,A
449,25.10,66.10,20.82,88.90,2.040,58.000,No Turning-on Behavior,A
458,25.10,66.40,20.88,89.30,1.340,62.000,No Turning-on Behavior,A
490,25.20,65.90,21.06,88.20,1.570,43.000,No Turning-on Behavior,A
498,25.30,65.90,20.73,89.90,2.270,56.000,No Turning-on Behavior,A
500,25.40,65.70,20.77,89.50,1.570,45.000,No Turning-on Behavior,A
531,25.50,65.30,20.93,88.40,1.800,57.000,No Turning-on Behavior,A
539,25.60,65.30,21.18,87.40,2.040,50.000,No Turning-on Behavior,A
531,25.60,65.10,21.18,87.60,1.570,34.000,No Turning-on Behavior,A
516,25.60,65.30,20.82,90.10,2.270,25.000,No Turning-on Behavior,A
483,25.50,65.80,20.62,89.90,2.040,36.000,No Turning-on Behavior,A
537,25.70,65.30,20.85,88.60,1.800,37.000,No Turning-on Behavior,A
577,25.80,65.00,20.76,89.10,1.570,27.000,No Turning-on Behavior,A
539,25.70,65.10,20.75,89.20,1.340,27.000,No Turning-on Behavior,A
606,25.90,64.90,20.63,89.30,1.570,29.000,No Turning-on Behavior,A
644,25.90,64.70,20.61,89.60,1.340,21.000,No Turning-on Behavior,A
554,25.70,65.10,20.54,90.30,1.340,18.000,No Turning-on Behavior,A
461,25.50,65.60,20.45,90.60,1.570,21.000,No Turning-on Behavior,A
470,25.40,65.80,20.32,90.90,1.800,18.000,No Turning-on Behavior,A
438,25.20,66.10,20.36,90.70,1.100,16.000,No Turning-on Behavior,A
439,25.30,65.90,20.30,90.30,0.870,14.000,No Turning-on Behavior,A
432,25.20,66.00,20.31,90.50,1.100,19.000,No Turning-on Behavior,A
434,25.20,65.80,20.24,90.00,1.340,14.000,No Turning-on Behavior,A
481,25.60,36.40,25.78,16.60,4.140,52.000,No Turning-on Behavior,A
486,25.60,37.60,25.95,17.10,2.970,46.000,No Turning-on Behavior,A
486,25.60,38.60,26.29,17.50,2.970,36.000,No Turning-on Behavior,A
489,25.60,39.10,25.65,16.60,3.210,37.000,No Turning-on Behavior,A
488,25.60,39.70,25.66,17.10,2.740,31.000,No Turning-on Behavior,A
480,25.60,40.20,25.33,17.20,2.740,20.000,No Turning-on Behavior,A
483,25.60,40.60,25.09,18.40,2.740,12.000,No Turning-on Behavior,A
