Temperature_Indoor [C],Relative_Humidity_Indoor [%],Indoor_Illumination [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Shading_Status_last,Class,Room_ID
26.40,40.40,693,25.78,26.80,38.980,265.000,0,Rolling Up,C
25.60,39.70,687,26.68,23.90,32.440,256.000,0,Rolling Up,C
26.10,39.10,667,25.65,24.00,12.790,251.000,0,Rolling Up,C
26.30,38.20,639,26.26,24.60,31.500,241.000,0,Rolling Up,C
26.40,39.70,601,25.63,21.10,16.300,226.000,0,Rolling Up,C
26.40,38.80,596,25.39,19.70,77.560,219.000,0,Rolling Up,C
26.60,38.50,583,26.23,24.30,754.480,203.000,0,Rolling Up,C
26.70,38.60,579,27.30,21.30,673.110,185.000,0,Rolling Up,C
26.70,38.20,570,27.34,22.10,17.470,172.000,0,Rolling Up,C
26.70,38.20,562,26.60,20.90,19.340,149.000,0,Rolling Up,C
26.70,38.80,552,28.03,19.70,14.900,130.000,0,Rolling Up,C
26.70,36.70,538,27.35,19.80,17.240,124.000,0,Rolling Up,C
26.80,36.10,522,27.74,19.50,38.280,119.000,0,Rolling Up,C
26.80,37.40,497,27.41,20.40,27.530,117.000,0,Rolling Up,C
26.80,36.20,480,27.35,18.80,14.660,115.000,0,Rolling Up,C
26.80,35.60,481,27.30,18.80,9.050,113.000,0,Rolling Up,C
26.80,62.00,852,27.96,53.30,6.720,255.000,1,Rolling Up,C
27.00,60.50,770,28.34,48.60,5.550,215.000,0,Rolling Up,C
27.00,59.50,985,28.13,50.50,5.310,305.000,0,Rolling Up,C
27.10,58.90,961,29.54,45.40,4.140,315.000,0,Rolling Up,C
27.20,58.50,899,28.55,47.70,7.650,324.000,0,Rolling Up,C
26.00,63.40,911,31.68,41.30,19.340,293.000,0,Rolling Up,C
25.80,59.80,700,29.16,48.60,13.260,208.000,0,Rolling Up,C
26.30,61.00,731,28.96,47.40,16.540,210.000,0,Rolling Up,C
25.90,56.90,744,30.48,44.20,21.910,195.000,0,Rolling Up,C
26.20,56.20,734,29.98,44.60,13.960,195.000,0,Rolling Up,C
26.10,59.40,672,29.41,46.10,10.460,176.000,0,Rolling Up,C
26.10,60.50,692,30.01,43.90,7.880,185.000,0,Rolling Up,C
26.20,58.70,687,30.28,43.40,9.750,185.000,0,Rolling Up,C
26.10,58.60,680,29.67,43.70,9.990,190.000,0,Rolling Up,C
26.10,59.20,576,30.06,42.70,6.010,153.000,0,Rolling Up,C
25.90,55.70,651,29.84,44.00,6.480,172.000,0,Rolling Up,C
26.30,59.80,549,29.96,44.20,5.550,137.000,0,Rolling Up,C
26.10,59.30,440,29.48,45.30,4.380,109.000,0,Rolling Up,C
26.10,58.70,368,29.39,46.80,3.210,81.000,0,Rolling Up,C
26.20,59.50,391,28.89,48.50,3.440,89.000,0,Rolling Up,C
26.00,62.60,350,28.83,48.40,2.510,77.000,0,Rolling Up,C
26.30,60.30,349,29.41,47.20,1.800,72.000,0,Rolling Up,C
26.20,63.90,355,28.98,49.10,3.210,76.000,0,Rolling Up,C
26.10,58.70,410,29.08,49.10,3.210,100.000,0,Rolling Up,C
26.20,61.30,404,29.19,49.40,3.440,97.000,0,Rolling Up,C
25.80,63.00,364,29.24,48.30,3.910,90.000,0,Rolling Up,C
25.80,62.30,379,29.71,46.80,3.440,92.000,0,Rolling Up,C
25.90,69.60,275,23.22,90.60,1.800,52.000,0,Rolling Up,C
26.10,61.00,424,22.21,74.50,3.440,114.000,1,Rolling Up,C
26.10,61.40,444,22.64,75.10,3.440,118.000,0.5,Rolling Up,C
26.60,60.70,389,22.23,73.50,3.440,103.000,0.5,Rolling Up,C
